"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2025","42.2300","42.0500","42.2830","42.0212","","0.19%"
"01/03/2025","42.1500","42.0500","42.1863","41.9895","","0.21%"
"01/02/2025","42.0600","42.0200","42.1333","41.9300","","0.38%"
"01/01/2025","41.9000","42.0100","42.0650","41.9050","","-0.14%"
"12/31/2024","41.9600","42.0850","42.1363","41.9254","","-0.26%"
"12/30/2024","42.0700","41.9550","42.0979","41.8400","","0.33%"
"12/27/2024","41.9300","41.8600","42.0320","41.8050","","0.29%"
"12/26/2024","41.8100","41.8500","42.0008","41.7632","","0.02%"
"12/25/2024","41.8000","41.9750","42.0045","41.7605","","-0.24%"
"12/24/2024","41.9000","42.0350","42.1495","41.8175","","-0.29%"
"12/23/2024","42.0200","41.8000","42.0514","41.7855","","0.26%"
"12/20/2024","41.9100","41.6000","41.9967","41.6000","","0.14%"
"12/19/2024","41.8500","41.9800","41.9978","41.6000","","-0.21%"
"12/18/2024","41.9400","41.8950","42.0045","41.6000","","0.14%"
"12/17/2024","41.8793","41.7850","41.9086","41.6000","","0.24%"
"12/16/2024","41.7800","41.6500","41.7977","41.5800","","0.48%"
"12/13/2024","41.5800","41.5500","41.7683","41.4750","","-0.05%"
"12/12/2024","41.6000","41.6900","41.7594","41.5080","","-0.12%"
"12/11/2024","41.6500","41.5500","41.7825","41.4830","","0.00%"
"12/10/2024","41.6500","41.5475","41.6970","41.4300","","0.28%"
"12/09/2024","41.5350","41.4550","41.6329","41.3780","","0.33%"
"12/06/2024","41.4000","41.5550","41.6225","41.3525","","-0.19%"
"12/05/2024","41.4800","41.6500","41.7260","41.4725","","-0.29%"
"12/04/2024","41.6000","41.7150","41.7444","41.5250","","-0.17%"
"12/03/2024","41.6700","41.6500","41.7795","41.5395","","0.05%"
"12/02/2024","41.6500","41.6050","41.7570","41.4505","","0.22%"
"11/29/2024","41.5600","41.5500","41.6606","41.4405","","-0.02%"
"11/28/2024","41.5700","41.5500","41.6668","41.4362","","0.12%"
"11/27/2024","41.5200","41.5725","41.6704","41.4355","","-0.06%"
"11/26/2024","41.5450","41.5050","41.6097","41.3000","","0.18%"
"11/25/2024","41.4700","41.3500","41.5628","41.2805","","0.66%"
"11/22/2024","41.2000","41.2750","41.4479","41.2250","","-0.07%"
"11/21/2024","41.2300","41.3258","41.3893","41.2000","","-0.15%"
"11/20/2024","41.2900","41.3000","41.3881","41.1705","","0.10%"
"11/19/2024","41.2500","41.3259","41.4223","41.1845","","0.36%"
"11/18/2024","41.1000","41.2500","41.4381","41.2250","","-0.48%"
"11/15/2024","41.3000","41.3000","41.3895","41.1780","","0.24%"
"11/14/2024","41.2000","41.4075","41.4600","41.1455","","-0.19%"
"11/13/2024","41.2800","41.3761","41.4795","41.2755","","-0.22%"
"11/12/2024","41.3700","41.2500","41.4908","41.2305","","0.07%"
"11/11/2024","41.3390","41.2500","41.4504","41.1925","","0.41%"
"11/08/2024","41.1700","41.3300","41.4762","41.1650","","-0.27%"
"11/07/2024","41.2800","41.3500","41.5033","41.2845","","-0.17%"
"11/06/2024","41.3500","41.4950","41.5495","41.2980","","0.12%"
"11/05/2024","41.3000","41.3500","41.5695","41.3125","","-0.22%"
"11/04/2024","41.3900","41.2500","41.5020","41.2200","","0.16%"
"11/01/2024","41.3240","41.2150","41.4195","41.1800","","0.45%"
"10/31/2024","41.1400","41.3500","41.3753","41.1405","","-0.22%"
"10/30/2024","41.2290","41.2750","41.3969","41.1900","","-0.22%"
"10/29/2024","41.3200","41.3500","41.4576","41.2405","","-0.19%"
"10/28/2024","41.4000","41.2500","41.4604","41.2000","","0.73%"
"10/25/2024","41.1000","41.2500","41.3755","41.1975","","-0.24%"
